"Date-Time","Matrix","Execution time Pre-Elaboration (ms)","Pre-Elaboration RAM (MB)","Rows removed","Cols removed","Execution time MBase (ms)","MBase RAM (MB)","Out of Time","Out of Memory","Rows","Columns","Cardinality Min","Cardinality Max","#MHS"
"24-01-2022-09:57:49","74L85.000","0","0","0","25","2","3","false","false","2","33","1","2","7"
"24-01-2022-15:17:16","74L85.000","0","0","0","0","6","4","false","false","2","33","1","2","7"
"24-01-2022-15:18:31","74L85.000","0","0","0","0","4","4","false","false","2","33","1","2","7"
"24-01-2022-17:22:21","74181.010","0","0","0","0","63","10","false","false","7","65","2","3","167"
"24-01-2022-17:22:22","74181.020","0","0","0","0","159","33","false","false","12","65","3","5","1472"
"24-01-2022-17:22:23","74283.029","0","0","0","0","89","31","false","false","15","36","3","5","1425"
"24-01-2022-17:22:25","74L85.000","0","0","0","0","6","2","false","false","2","33","1","2","7"
"24-01-2022-17:22:26","74L85.001","0","0","0","0","3","2","false","false","4","33","1","2","21"
"24-01-2022-17:22:27","example","0","0","0","0","3","2","false","false","7","6","1","3","3"
"24-01-2022-17:26:20","74181.010","0","0","0","0","379","3","false","false","7","65","2","3","167"
"24-01-2022-17:26:21","74181.020","0","0","0","0","1734","15","false","false","12","65","3","5","1472"
"24-01-2022-17:26:24","74283.029","0","0","0","0","696","37","false","false","15","36","3","5","1425"
"24-01-2022-17:26:26","74L85.000","0","0","0","0","19","2","false","false","2","33","1","2","7"
"24-01-2022-17:26:27","74L85.001","0","0","0","0","17","3","false","false","4","33","1","2","21"
"24-01-2022-17:26:28","example","0","0","0","0","9","3","false","false","7","6","1","3","3"
"24-01-2022-17:28:20","74181.010","21","0","31","1","153","28","false","false","7","65","2","3","167"
"24-01-2022-17:28:21","74181.020","12","0","27","1","792","17","false","false","12","65","3","5","1472"
"24-01-2022-17:28:23","74283.029","8","0","2","2","667","5","false","false","15","36","3","5","1425"
"24-01-2022-17:28:24","74L85.000","3","0","25","0","22","2","false","false","2","33","1","2","7"
"24-01-2022-17:28:25","74L85.001","3","0","14","0","10","2","false","false","4","33","1","2","21"
"24-01-2022-17:28:26","example","3","0","1","4","6","1","false","false","7","6","1","3","3"
"24-01-2022-18:51:21","74181.010","2","0","31","1","22","6","false","false","7","65","2","3","167"
"24-01-2022-18:51:22","74181.020","2","0","27","1","119","30","false","false","12","65","3","5","1472"
"24-01-2022-18:51:23","74283.029","1","0","2","2","76","28","false","false","15","36","3","5","1425"
"24-01-2022-18:51:24","74L85.000","0","0","25","0","3","2","false","false","2","33","1","2","7"
"24-01-2022-18:51:25","74L85.001","0","0","14","0","2","2","false","false","4","33","1","2","21"
"24-01-2022-18:51:26","example","1","0","1","4","3","2","false","false","7","6","1","3","3"
"24-01-2022-18:52:16","74181.010","3","0","31","1","20","6","false","false","7","65","2","3","167"
"24-01-2022-18:52:17","74181.020","2","0","27","1","111","30","false","false","12","65","3","5","1472"
"24-01-2022-18:52:18","74283.029","2","0","2","2","87","28","false","false","15","36","3","5","1425"
"24-01-2022-18:52:20","74L85.000","1","0","25","0","8","2","false","false","2","33","1","2","7"
"24-01-2022-18:52:21","74L85.001","2","0","14","0","4","2","false","false","4","33","1","2","21"
"24-01-2022-18:52:22","example","1","0","1","4","3","2","false","false","7","6","1","3","3"
"24-01-2022-18:52:44","74181.010","3","0","31","1","31","6","false","false","7","65","2","3","167"
"24-01-2022-18:52:46","74181.020","2","0","27","1","119","30","false","false","12","65","3","5","1472"
"24-01-2022-18:52:47","74283.029","2","0","2","2","80","28","false","false","15","36","3","5","1425"
"24-01-2022-18:52:48","74L85.000","2","0","25","0","6","2","false","false","2","33","1","2","7"
"24-01-2022-18:52:49","74L85.001","1","0","14","0","4","2","false","false","4","33","1","2","21"
"24-01-2022-18:52:50","example","2","0","1","4","3","2","false","false","7","6","1","3","3"
"24-01-2022-18:54:30","74181.010","3","0","31","1","28","6","false","false","7","65","2","3","167"
